Id,Label,timeset,modularity_class,indegree,outdegree,Degree,componentnumber,strongcompnum,weighted indegree,weighted outdegree,Weighted Degree
ManuelBaltar,ManuelBaltar,,9,3,0,3,0,162,3,0,3
joancgallego,joancgallego,,0,0,0,0,0,0,0,0,0
Fujitsu_ES,Fujitsu_ES,,9,6,1,7,0,722,6,1,7
CryptoJoseJM,CryptoJoseJM,,0,0,0,0,0,0,0,0,0
AnaBaezF,AnaBaezF,,1,0,4,4,0,819,0,4,4
UGT_Andalucia,UGT_Andalucia,,13,2,2,4,0,820,2,2,4
carlosbardem,carlosbardem,,0,0,0,0,0,0,0,0,0
jmoisesmartin,jmoisesmartin,,9,1,1,2,0,821,1,1,2
Ly_______,Ly_______,,0,0,0,0,0,0,0,0,0
rochatatianas,rochatatianas,,0,0,0,0,0,0,0,0,0
EmpleoJunta,EmpleoJunta,,16,2,0,2,0,822,2,0,2
jmrdezuribes,jmrdezuribes,,0,0,0,0,0,0,0,0,0
marccortes,marccortes,,4,1,0,1,0,823,1,0,1
LexusSpain,LexusSpain,,16,0,2,2,0,825,0,2,2
FProgresoysalud,FProgresoysalud,,16,1,1,2,0,826,1,1,2
juanki_s,juanki_s,,0,0,0,0,0,0,0,0,0
VsPitu,VsPitu,,3,0,2,2,0,828,0,2,2
InvConti,InvConti,,0,0,0,0,0,0,0,0,0
montirome,montirome,,15,0,3,3,0,829,0,3,3
isabelriosgar,isabelriosgar,,0,0,0,0,0,0,0,0,0
jacquiperezla,jacquiperezla,,1,0,2,2,0,830,0,2,2
DDeudero,DDeudero,,0,0,0,0,0,0,0,0,0
que_olvide,que_olvide,,0,0,0,0,0,0,0,0,0
camarasoria,camarasoria,,0,0,0,0,0,0,0,0,0
machotesur,machotesur,,11,0,1,1,0,831,0,1,1
miguel_arag,miguel_arag,,0,0,0,0,0,0,0,0,0
acarmitt,acarmitt,,0,0,0,0,0,0,0,0,0
camaraabierta,camaraabierta,,0,0,0,0,0,0,0,0,0
nacho_mas,nacho_mas,,10,0,3,3,0,833,0,3,3
liber72,liber72,,0,0,0,0,0,0,0,0,0
IndomitoStyle,IndomitoStyle,,0,0,0,0,0,0,0,0,0
